SYMBOL,TOTTRDQTY,TIMESTAMP
DRREDDY,1498802,20-Apr-20
EICHERMOT,299977,20-Apr-20
EQUITAS,25513734,20-Apr-20
ESCORTS,2819316,20-Apr-20
EXIDEIND,6374514,20-Apr-20
FEDERALBNK,31414511,20-Apr-20
GAIL,11550952,20-Apr-20
GLENMARK,4512316,20-Apr-20
GMRINFRA,16394585,20-Apr-20
GODREJCP,1505931,20-Apr-20
GODREJPROP,266865,20-Apr-20
GRASIM,3106055,20-Apr-20
HAVELLS,3578236,20-Apr-20
HCLTECH,4801120,20-Apr-20
HDFC,7372380,20-Apr-20
HDFCBANK,33116614,20-Apr-20
HDFCLIFE,4164523,20-Apr-20
HEROMOTOCO,2291195,20-Apr-20
HINDALCO,18342560,20-Apr-20
HINDPETRO,5607632,20-Apr-20
HINDUNILVR,2985278,20-Apr-20
IBULHSGFIN,51746746,20-Apr-20
ICICIBANK,55811178,20-Apr-20
ICICIPRULI,7660781,20-Apr-20
IDEA,274060091,20-Apr-20
IDFCFIRSTB,33183029,20-Apr-20
IGL,3095341,20-Apr-20
INDIGO,2520926,20-Apr-20
INDUSINDBK,16950517,20-Apr-20
INFRATEL,6007560,20-Apr-20
INFY,13322995,20-Apr-20
IOC,17688009,20-Apr-20
ITC,35767070,20-Apr-20
JINDALSTEL,13853528,20-Apr-20
JSWSTEEL,12629035,20-Apr-20
JUBLFOOD,1624034,20-Apr-20
JUSTDIAL,3328121,20-Apr-20
KOTAKBANK,6560230,20-Apr-20
L&TFH,13117523,20-Apr-20
LICHSGFIN,4686877,20-Apr-20
LT,4958437,20-Apr-20
LUPIN,2294963,20-Apr-20
M&M,4834224,20-Apr-20
M&MFIN,5619215,20-Apr-20
MANAPPURAM,10883988,20-Apr-20
MARICO,3315017,20-Apr-20
MARUTI,1555313,20-Apr-20
MCDOWELL-N,1885605,20-Apr-20
MFSL,1928444,20-Apr-20
MGL,882069,20-Apr-20
MINDTREE,853986,20-Apr-20
MOTHERSUMI,27692899,20-Apr-20
MRF,9847,20-Apr-20
MUTHOOTFIN,5228659,20-Apr-20
NATIONALUM,18439911,20-Apr-20
NAUKRI,619686,20-Apr-20
NCC,32384697,20-Apr-20
NESTLEIND,135197,20-Apr-20
NIITTECH,525659,20-Apr-20
NMDC,13806690,20-Apr-20
NTPC,17639176,20-Apr-20
OIL,1508682,20-Apr-20
ONGC,15699082,20-Apr-20
PAGEIND,77045,20-Apr-20
PEL,2281967,20-Apr-20
PETRONET,4292560,20-Apr-20
PFC,6761750,20-Apr-20
PIDILITIND,618633,20-Apr-20
PNB,41211953,20-Apr-20
POWERGRID,13599590,20-Apr-20
PVR,1895752,20-Apr-20
RAMCOCEM,520108,20-Apr-20
RBLBANK,26700414,20-Apr-20
RECLTD,6325077,20-Apr-20
RELIANCE,16472339,20-Apr-20
SAIL,18761443,20-Apr-20
SBIN,81961666,20-Apr-20
SHREECEM,48069,20-Apr-20
SIEMENS,254102,20-Apr-20
SRF,190389,20-Apr-20
SRTRANSFIN,7597909,20-Apr-20
SUNPHARMA,17894276,20-Apr-20
SUNTV,1678495,20-Apr-20
TATACHEM,2464492,20-Apr-20
TATACONSUM,3621444,20-Apr-20
TATAMOTORS,125427754,20-Apr-20
TATAPOWER,24635627,20-Apr-20
TATASTEEL,11961355,20-Apr-20
TCS,3244293,20-Apr-20
TECHM,4549099,20-Apr-20
TITAN,2557331,20-Apr-20
TORNTPHARM,811360,20-Apr-20
TORNTPOWER,3464720,20-Apr-20
TVSMOTOR,7127739,20-Apr-20
UBL,316624,20-Apr-20
UJJIVAN,8138766,20-Apr-20
ULTRACEMCO,391192,20-Apr-20
UPL,4741110,20-Apr-20
VEDL,33264777,20-Apr-20
VOLTAS,1976278,20-Apr-20
WIPRO,8101663,20-Apr-20
